window_idx,window_start,window_end,window_seconds,hrv_status,hrv_coverage,rmssd_ms,sdnn_ms,baseline_rmssd_ms,rmssd_ratio,eye_frames_count,on_screen_ratio,face_detected_ratio,mean_dwell_ms,max_dwell_ms,section_transitions,dominant_section,mean_iris_delta,mean_blink_rate_bpm,head_shifted_ratio,cognitive_state,cognitive_load_score,cognitive_state_desc
0,2026-09-19T09:58:30.038117+00:00,2026-09-19T09:58:55.038117+00:00,25.0,ready,0.9034375,119.52008578338545,112.49245198363923,62.24389054678692,1.92,988,0.482,0.908,1004.7,4090.0,50,off_screen,0.0004,10.6,0.789,CONFUSED,20.2,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
1,2026-09-19T09:58:35.038117+00:00,2026-09-19T09:59:00.038117+00:00,25.0,ready,0.8591937500005588,115.21511588368601,107.16952306607733,62.24389054678692,1.851,988,0.343,0.908,1265.5,4383.0,46,off_screen,-0.0001,11.4,0.789,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
2,2026-09-19T09:58:40.038117+00:00,2026-09-19T09:59:05.038117+00:00,25.0,ready,0.8019281250005588,114.67728011483877,91.65685285484882,62.24389054678692,1.842,989,0.148,0.908,2478.2,9378.0,42,off_screen,-0.0006,12.1,0.789,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
3,2026-09-19T09:58:45.038117+00:00,2026-09-19T09:59:10.038117+00:00,25.0,insufficient_data,0.7943500000005588,,,62.24389054678692,,989,0.123,1.0,3081.7,11125.0,31,off_screen,-0.0006,12.8,0.709,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
4,2026-09-19T09:58:50.038117+00:00,2026-09-19T09:59:15.038117+00:00,25.0,insufficient_data,0.799375,,,62.24389054678692,,988,0.092,1.0,3097.2,11125.0,25,off_screen,-0.0003,13.1,0.536,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
5,2026-09-19T09:58:55.038117+00:00,2026-09-19T09:59:20.038117+00:00,25.0,ready,0.8841056250000838,54.14737455672915,102.8004311815839,62.24389054678692,0.87,989,0.053,1.0,3457.0,11125.0,14,off_screen,-0.0002,12.9,0.406,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
6,2026-09-19T09:59:00.038117+00:00,2026-09-19T09:59:25.038117+00:00,25.0,ready,0.8802384375000838,53.48995734817308,90.70816129439567,62.24389054678692,0.859,989,0.047,1.0,3886.3,11125.0,14,off_screen,0.0002,12.2,0.206,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
7,2026-09-19T09:59:05.038117+00:00,2026-09-19T09:59:30.038117+00:00,25.0,ready,0.9728365624998696,54.23856730725138,91.40825150428344,62.24389054678692,0.871,988,0.049,0.999,2697.0,11125.0,17,off_screen,0.0004,11.5,0.053,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
8,2026-09-19T09:59:10.038117+00:00,2026-09-19T09:59:35.038117+00:00,25.0,ready,0.9741256249998697,49.0087803869166,97.41132971671884,62.24389054678692,0.787,988,0.043,0.999,2202.7,6982.0,19,off_screen,0.0007,10.8,0.06,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
9,2026-09-19T09:59:15.038117+00:00,2026-09-19T09:59:40.038117+00:00,25.0,ready,0.9711568749998696,44.31721274425555,98.33746777479769,62.24389054678692,0.712,989,0.203,0.999,2115.8,6982.0,18,off_screen,0.0003,10.5,0.06,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
10,2026-09-19T09:59:20.038117+00:00,2026-09-19T09:59:45.038117+00:00,25.0,ready,0.9678756249998696,36.61951861531895,62.639112395813584,62.24389054678692,0.588,989,0.27,0.999,1713.9,6982.0,18,off_screen,0.0001,10.6,0.061,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
11,2026-09-19T09:59:25.038117+00:00,2026-09-19T09:59:50.038117+00:00,25.0,ready,0.9698287499998696,38.4116808045544,68.36240559553428,62.24389054678692,0.617,988,0.265,0.999,1683.4,6440.0,17,off_screen,-0.0003,10.8,0.061,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
12,2026-09-19T09:59:30.038117+00:00,2026-09-19T09:59:55.038117+00:00,25.0,ready,0.9543599999998696,51.06277615279,69.70862715220174,62.24389054678692,0.82,979,0.369,1.0,1618.7,6440.0,38,off_screen,-0.0003,11.4,0.015,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
13,2026-09-19T09:59:35.038117+00:00,2026-09-19T10:00:00.038117+00:00,25.0,insufficient_data,0.8797115624998696,,,62.24389054678692,,781,0.444,1.0,1526.5,6440.0,32,off_screen,-0.0005,11.8,0.001,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
14,2026-09-19T09:59:40.038117+00:00,2026-09-19T10:00:05.038117+00:00,25.0,gap,0.7114303124998697,,,62.24389054678692,,583,0.298,1.0,1763.2,6440.0,28,off_screen,-0.0003,12.1,0.002,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
