raw_id,packet_id,received_at,elapsed_seconds,rr_units,rr_original_ms,contact_detected,phase
1,5,2026-09-19T13:22:38.213677+00:00,4.875,609,594.7265625,,calibration
2,5,2026-09-19T13:22:38.213677+00:00,4.875,648,632.8125,,calibration
3,5,2026-09-19T13:22:38.213677+00:00,4.875,632,617.1875,,calibration
4,5,2026-09-19T13:22:38.213677+00:00,4.875,640,625.0,,calibration
5,6,2026-09-19T13:22:39.248846+00:00,5.907000000002881,617,602.5390625,,calibration
6,7,2026-09-19T13:22:40.238038+00:00,6.907000000002881,609,594.7265625,,calibration
7,7,2026-09-19T13:22:40.238038+00:00,6.907000000002881,640,625.0,,calibration
8,8,2026-09-19T13:22:41.228438+00:00,7.89100000000326,625,610.3515625,,calibration
9,8,2026-09-19T13:22:41.228438+00:00,7.89100000000326,609,594.7265625,,calibration
10,9,2026-09-19T13:22:42.217578+00:00,8.875,601,586.9140625,,calibration
11,10,2026-09-19T13:22:43.252649+00:00,9.907000000002881,601,586.9140625,,calibration
12,10,2026-09-19T13:22:43.252649+00:00,9.907000000002881,625,610.3515625,,calibration
13,11,2026-09-19T13:22:44.243743+00:00,10.907000000002881,632,617.1875,,calibration
