phase,window_start,window_end,window_seconds,hrv_status,hrv_reason,rr_count,rr_pairs,rmssd_ms,sdnn_ms,eye_frame_count,eye_face_detected_ratio,eye_on_screen_ratio,eye_mean_confidence,eye_mean_gaze_x,eye_mean_gaze_y,eye_blink_count_max,eye_mean_fps,eye_mean_transition_rate
baseline,2026-09-19T08:10:17.843420+00:00,2026-09-19T08:12:37.078817+00:00,139.23539739998523,ready,target_reached,163,157,51.1241737065955,68.04261423176689,0,,,,,,,,
task,2026-09-19T08:12:37.078817+00:00,2026-09-19T08:13:02.078817+00:00,25,ready,,30,28,40.950801772448386,72.64709000017521,0,,,,,,,,
task,2026-09-19T08:12:42.078817+00:00,2026-09-19T08:13:07.078817+00:00,25,ready,,30,28,46.247735870203606,71.44915216916084,0,,,,,,,,
task,2026-09-19T08:12:47.078817+00:00,2026-09-19T08:13:12.078817+00:00,25,ready,,30,28,43.38761322073281,69.16613940069811,0,,,,,,,,
task,2026-09-19T08:12:52.078817+00:00,2026-09-19T08:13:17.078817+00:00,25,recovering,recovery_pending;insufficient_coverage;stale_or_missing_data,24,23,,,0,,,,,,,,
task,2026-09-19T08:12:57.078817+00:00,2026-09-19T08:13:22.078817+00:00,25,ready,,31,29,47.386101555615895,65.02994235799419,0,,,,,,,,
task,2026-09-19T08:13:02.078817+00:00,2026-09-19T08:13:27.078817+00:00,25,ready,,32,30,45.95000704439072,59.430576278718355,0,,,,,,,,
task,2026-09-19T08:13:07.078817+00:00,2026-09-19T08:13:32.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,25,23,,,0,,,,,,,,
task,2026-09-19T08:13:12.078817+00:00,2026-09-19T08:13:37.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,18,16,,,0,,,,,,,,
task,2026-09-19T08:13:17.078817+00:00,2026-09-19T08:13:42.078817+00:00,25,insufficient_data,insufficient_coverage,18,16,,,0,,,,,,,,
task,2026-09-19T08:13:22.078817+00:00,2026-09-19T08:13:47.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,12,10,,,0,,,,,,,,
task,2026-09-19T08:13:27.078817+00:00,2026-09-19T08:13:52.078817+00:00,25,insufficient_data,insufficient_coverage;insufficient_pairs,10,8,,,0,,,,,,,,
task,2026-09-19T08:13:32.078817+00:00,2026-09-19T08:13:57.078817+00:00,25,gap,rr_gap;insufficient_coverage;insufficient_pairs;stale_or_missing_data,11,9,,,0,,,,,,,,
task,2026-09-19T08:13:37.078817+00:00,2026-09-19T08:14:02.078817+00:00,25,insufficient_data,insufficient_coverage,17,14,,,0,,,,,,,,
task,2026-09-19T08:13:42.078817+00:00,2026-09-19T08:14:07.078817+00:00,25,insufficient_data,insufficient_coverage,19,17,,,0,,,,,,,,
task,2026-09-19T08:13:47.078817+00:00,2026-09-19T08:14:12.078817+00:00,25,insufficient_data,insufficient_coverage,25,23,,,0,,,,,,,,
task,2026-09-19T08:13:52.078817+00:00,2026-09-19T08:14:17.078817+00:00,25,ready,,26,24,47.308716690331686,52.80182874309169,0,,,,,,,,
task,2026-09-19T08:13:57.078817+00:00,2026-09-19T08:14:22.078817+00:00,25,ready,,30,29,46.686957259264254,42.0242052906875,0,,,,,,,,
task,2026-09-19T08:14:02.078817+00:00,2026-09-19T08:14:27.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,25,24,,,0,,,,,,,,
task,2026-09-19T08:14:07.078817+00:00,2026-09-19T08:14:32.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,18,17,,,0,,,,,,,,
task,2026-09-19T08:14:12.078817+00:00,2026-09-19T08:14:37.078817+00:00,25,recovering,recovery_pending;insufficient_coverage;stale_or_missing_data,13,12,,,0,,,,,,,,
task,2026-09-19T08:14:17.078817+00:00,2026-09-19T08:14:42.078817+00:00,25,insufficient_data,insufficient_coverage,17,15,,,0,,,,,,,,
task,2026-09-19T08:14:22.078817+00:00,2026-09-19T08:14:47.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,11,10,,,0,,,,,,,,
task,2026-09-19T08:14:27.078817+00:00,2026-09-19T08:14:52.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,11,10,,,0,,,,,,,,
task,2026-09-19T08:14:32.078817+00:00,2026-09-19T08:14:57.078817+00:00,25,gap,rr_gap;insufficient_coverage;stale_or_missing_data,11,10,,,0,,,,,,,,
task,2026-09-19T08:14:37.078817+00:00,2026-09-19T08:15:02.078817+00:00,25,gap,rr_gap;insufficient_coverage;insufficient_pairs;stale_or_missing_data,7,6,,,0,,,,,,,,
task,2026-09-19T08:14:42.078817+00:00,2026-09-19T08:15:07.078817+00:00,25,insufficient_data,insufficient_coverage;insufficient_pairs,5,4,,,0,,,,,,,,
task,2026-09-19T08:14:47.078817+00:00,2026-09-19T08:15:12.078817+00:00,25,insufficient_data,insufficient_coverage,11,10,,,0,,,,,,,,
task,2026-09-19T08:14:52.078817+00:00,2026-09-19T08:15:17.078817+00:00,25,insufficient_data,insufficient_coverage,18,17,,,0,,,,,,,,
task,2026-09-19T08:14:57.078817+00:00,2026-09-19T08:15:22.078817+00:00,25,insufficient_data,insufficient_coverage,25,24,,,0,,,,,,,,
